service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
OP42EA3524,0,0,0,0,0,0,0,20171202,20250905
OP40LJLSQ,0,0,0,0,0,0,0,20170717,20250730
OP44SSEPT,0,0,0,0,0,0,0,20180929,20250927
OP42BLSG,0,0,0,0,0,0,0,20170821,20250822
OP43LPPV,0,0,0,0,0,0,0,20220606,20250905
OP41VV,0,0,0,0,0,0,0,20170804,20250829
OP9SIN,0,0,0,0,0,0,0,20170107,20251115
OP41FV,0,0,0,0,0,0,0,20170806,20250831
OP44BLSG,0,0,0,0,0,0,0,20170821,20250820
OP41B2FSG,0,0,0,0,0,0,0,20170827,20250824
OP42BSSG,0,0,0,0,0,0,0,20170819,20250816
OP9FVA,0,0,0,0,0,0,0,20220807,20250831
OP41ELOSAB,0,0,0,0,0,0,0,20180901,20250913
OP40FSEPT,0,0,0,0,0,0,0,20190908,20250928
OP40LSSU,0,0,0,0,0,0,0,20170904,20250905
OP44FPV,0,0,0,0,0,0,0,20170604,20250928
OP40SJLSQ,0,0,0,0,0,0,0,20170722,20250726
OP42LSSU,0,0,0,0,0,0,0,20170904,20250904
OP41B2SSG,0,0,0,0,0,0,0,20220827,20250823
OP40VIN,0,0,0,0,0,0,0,20170203,20251114
OP42B2SSG,0,0,0,0,0,0,0,20170826,20250823
OP41XIN,0,0,0,0,0,0,0,20170109,20251113
OP41LJV,0,0,0,0,0,0,0,20170801,20250828
OP42FV,0,0,0,0,0,0,0,20170702,20250831
OP42SSEPT,0,0,0,0,0,0,0,20190907,20250927
OP43FIN,0,0,0,0,0,0,0,20170903,20251116
OP44BVSG,0,0,0,0,0,0,0,20180823,20250822
OP42VV,0,0,0,0,0,0,0,20170804,20250829
OP41VSSU,0,0,0,0,0,0,0,20170908,20250905
OP44LVA,0,0,0,0,0,0,0,20170801,20250829
OP40SSSU,0,0,0,0,0,0,0,20170909,20250906
OP43LVA,0,0,0,0,0,0,0,20170801,20250829
OP41FIN,0,0,0,0,0,0,0,20170106,20251116
OP41VPPV,0,0,0,0,0,0,0,20170915,20250926
OP40FV,0,0,0,0,0,0,0,20170723,20250831
OP40BLSG,0,0,0,0,0,0,0,20170821,20250822
OP42VSSU,0,0,0,0,0,0,0,20170908,20250905
OP44LKG,0,0,0,0,0,0,0,20180905,20250905
OP9LJLSQ,0,0,0,0,0,0,0,20170717,20250730
OP9SV,0,0,0,0,0,0,0,20220702,20250726
OP43LIN,0,0,0,0,0,0,0,20170911,20251114
OP42LJV,0,0,0,0,0,0,0,20170801,20250828
PRUEBA,0,0,0,0,0,0,0,20160630,20251116
OP43FV,0,0,0,0,0,0,0,20170702,20250831
OP44B2FSG,0,0,0,0,0,0,0,20180826,20250824
OP41BLSG,0,0,0,0,0,0,0,20170821,20250821
OP9SVA,0,0,0,0,0,0,0,20220806,20250830
OP9VIN,0,0,0,0,0,0,0,20170113,20251114
OP44LSUPV,0,0,0,0,0,0,0,20170418,20250905
OP44SV,0,0,0,0,0,0,0,20220611,20250726
OP41BFSG,0,0,0,0,0,0,0,20170820,20250817
OP44LV,0,0,0,0,0,0,0,20170612,20250730
OP44BFSG,0,0,0,0,0,0,0,20170820,20250817
OP41ELOVIE,0,0,0,0,0,0,0,20180831,20250912
OP42FSEPT,0,0,0,0,0,0,0,20220904,20250928
OP43LV,0,0,0,0,0,0,0,20170703,20250730
OP40BSSG,0,0,0,0,0,0,0,20170819,20250823
OP9FV,0,0,0,0,0,0,0,20220703,20250731
OP42LJLSQ,0,0,0,0,0,0,0,20170717,20250730
OP41SV,0,0,0,0,0,0,0,20170805,20250830
OP40BFSG,0,0,0,0,0,0,0,20170820,20250817
OP41BSSG,0,0,0,0,0,0,0,20170819,20250816
OP40SSEPT,0,0,0,0,0,0,0,20190914,20250927
OP41LJLSQ,0,0,0,0,0,0,0,20170717,20250730
OP44LKG2,0,0,0,0,0,0,0,20230906,20250906
OP44LIN,0,0,0,0,0,0,0,20170109,20251113
OP41VFV,0,0,0,0,0,0,0,20170724,20250815
OP41SIN,0,0,0,0,0,0,0,20170107,20251115
OP9FIN,0,0,0,0,0,0,0,20170106,20251116
OP42LSEPT,0,0,0,0,0,0,0,20220908,20250930
OP40LV,0,0,0,0,0,0,0,20170418,20250829
OP9LJIN,0,0,0,0,0,0,0,20170109,20251113
OP41LSSU,0,0,0,0,0,0,0,20170904,20250904
OP43SIN,0,0,0,0,0,0,0,20170902,20251115
OP9LPPV,0,0,0,0,0,0,0,20230605,20250905
OP42BFSG,0,0,0,0,0,0,0,20170820,20250817
OP44BSSG,0,0,0,0,0,0,0,20180818,20250823
OP42B2FSG,0,0,0,0,0,0,0,20170827,20250824
OP43SV,0,0,0,0,0,0,0,20170701,20250830
OP44SVA,0,0,0,0,0,0,0,20210807,20250830
OP42SV,0,0,0,0,0,0,0,20170701,20250830
OP41LJIN,0,0,0,0,0,0,0,20170109,20251113
OP40B2FSG,0,0,0,0,0,0,0,20170827,20250824
OP41BVSG,0,0,0,0,0,0,0,20170825,20250822
OP42VSEPT,0,0,0,0,0,0,0,20220909,20250926
OP42VNF,0,0,0,0,0,0,0,20180330,20250815
OP9LV,0,0,0,0,0,0,0,20170801,20250829
OP40SV,0,0,0,0,0,0,0,20170805,20250830
OP44VIN,0,0,0,0,0,0,0,20171110,20251114
OP40LJIN,0,0,0,0,0,0,0,20170130,20251113
