service_id,date,exception_type
OP40LJLSQ,20250722,1
OP41LJLSQ,20250722,1
OP42LJLSQ,20250722,1
OP43LV,20250722,1
OP44LV,20250722,1
OP9LJLSQ,20250722,1
PRUEBA,20250722,1
OP40LJLSQ,20250723,1
OP41LJLSQ,20250723,1
OP42LJLSQ,20250723,1
OP43LV,20250723,1
OP44LV,20250723,1
OP9LJLSQ,20250723,1
PRUEBA,20250723,1
OP40LJLSQ,20250724,1
OP41LJLSQ,20250724,1
OP41VFV,20250724,1
OP42LJLSQ,20250724,1
OP43LV,20250724,1
OP44LV,20250724,1
OP9LJLSQ,20250724,1
PRUEBA,20250724,1
OP40FV,20250725,1
OP41FIN,20250725,1
OP41VFV,20250725,1
OP42FV,20250725,1
OP42VNF,20250725,1
OP43FV,20250725,1
OP44FPV,20250725,1
OP9FV,20250725,1
PRUEBA,20250725,1
OP40SJLSQ,20250726,1
OP41SIN,20250726,1
OP42SV,20250726,1
OP43SV,20250726,1
OP44SV,20250726,1
OP9SV,20250726,1
PRUEBA,20250726,1
OP40FV,20250727,1
OP41FIN,20250727,1
OP42FV,20250727,1
OP43FV,20250727,1
OP44FPV,20250727,1
OP9FV,20250727,1
PRUEBA,20250727,1
OP40LJLSQ,20250728,1
OP41LJLSQ,20250728,1
OP42LJLSQ,20250728,1
OP43LV,20250728,1
OP44LV,20250728,1
OP9LJLSQ,20250728,1
PRUEBA,20250728,1
OP40LJLSQ,20250729,1
OP41LJLSQ,20250729,1
OP42LJLSQ,20250729,1
OP43LV,20250729,1
OP44LV,20250729,1
OP9LJLSQ,20250729,1
PRUEBA,20250729,1
OP40LJLSQ,20250730,1
OP41LJLSQ,20250730,1
OP41VFV,20250730,1
OP42LJLSQ,20250730,1
OP43LV,20250730,1
OP44LV,20250730,1
OP9LJLSQ,20250730,1
PRUEBA,20250730,1
OP40FV,20250731,1
OP41FIN,20250731,1
OP42FV,20250731,1
OP43FV,20250731,1
OP44FPV,20250731,1
OP9FV,20250731,1
PRUEBA,20250731,1
OP40LV,20250801,1
OP41VV,20250801,1
OP42VV,20250801,1
OP43LVA,20250801,1
OP44LVA,20250801,1
OP9LV,20250801,1
PRUEBA,20250801,1
OP40SV,20250802,1
OP41SV,20250802,1
OP42SV,20250802,1
OP43SV,20250802,1
OP44SVA,20250802,1
OP9SVA,20250802,1
PRUEBA,20250802,1
OP40FV,20250803,1
OP41FV,20250803,1
OP42FV,20250803,1
OP43FV,20250803,1
OP44FPV,20250803,1
OP9FVA,20250803,1
PRUEBA,20250803,1
OP40LV,20250804,1
OP41LJV,20250804,1
OP42LJV,20250804,1
OP43LVA,20250804,1
OP44LVA,20250804,1
OP9LV,20250804,1
PRUEBA,20250804,1
OP40LV,20250805,1
OP41LJV,20250805,1
OP42LJV,20250805,1
OP43LVA,20250805,1
OP44LVA,20250805,1
OP9LV,20250805,1
PRUEBA,20250805,1
OP40LV,20250806,1
OP41LJV,20250806,1
OP42LJV,20250806,1
OP43LVA,20250806,1
OP44LVA,20250806,1
OP9LV,20250806,1
PRUEBA,20250806,1
OP40LV,20250807,1
OP41LJV,20250807,1
OP42LJV,20250807,1
OP43LVA,20250807,1
OP44LVA,20250807,1
OP9LV,20250807,1
PRUEBA,20250807,1
OP40LV,20250808,1
OP41VV,20250808,1
OP42VV,20250808,1
OP43LVA,20250808,1
OP44LVA,20250808,1
OP9LV,20250808,1
PRUEBA,20250808,1
OP40SV,20250809,1
OP41SV,20250809,1
OP42SV,20250809,1
OP43SV,20250809,1
OP44SVA,20250809,1
OP9SVA,20250809,1
PRUEBA,20250809,1
OP40FV,20250810,1
OP41FV,20250810,1
OP42FV,20250810,1
OP43FV,20250810,1
OP44FPV,20250810,1
OP9FVA,20250810,1
PRUEBA,20250810,1
OP40LV,20250811,1
OP41LJV,20250811,1
OP42LJV,20250811,1
OP43LVA,20250811,1
OP44LVA,20250811,1
OP9LV,20250811,1
PRUEBA,20250811,1
OP40LV,20250812,1
OP41LJV,20250812,1
OP42LJV,20250812,1
OP43LVA,20250812,1
OP44LVA,20250812,1
OP9LV,20250812,1
PRUEBA,20250812,1
OP40LV,20250813,1
OP41LJV,20250813,1
OP42LJV,20250813,1
OP43LVA,20250813,1
OP44LVA,20250813,1
OP9LV,20250813,1
PRUEBA,20250813,1
OP40LV,20250814,1
OP41LJV,20250814,1
OP41VFV,20250814,1
OP42LJV,20250814,1
OP43LVA,20250814,1
OP44LVA,20250814,1
OP9LV,20250814,1
PRUEBA,20250814,1
OP40FV,20250815,1
OP41FV,20250815,1
OP41VFV,20250815,1
OP42FV,20250815,1
OP42VNF,20250815,1
OP43FV,20250815,1
OP44FPV,20250815,1
OP9FVA,20250815,1
PRUEBA,20250815,1
OP40BSSG,20250816,1
OP40SV,20250816,1
OP41BSSG,20250816,1
OP42BSSG,20250816,1
OP42SV,20250816,1
OP43SV,20250816,1
OP44BSSG,20250816,1
OP9SVA,20250816,1
PRUEBA,20250816,1
OP40BFSG,20250817,1
OP40FV,20250817,1
OP41BFSG,20250817,1
OP42BFSG,20250817,1
OP42FV,20250817,1
OP43FV,20250817,1
OP44BFSG,20250817,1
OP44FPV,20250817,1
OP9FVA,20250817,1
PRUEBA,20250817,1
OP40BLSG,20250818,1
OP40LV,20250818,1
OP41BLSG,20250818,1
OP42BLSG,20250818,1
OP42LJV,20250818,1
OP43LVA,20250818,1
OP44BLSG,20250818,1
OP9LV,20250818,1
PRUEBA,20250818,1
OP40BLSG,20250819,1
OP40LV,20250819,1
OP41BLSG,20250819,1
OP42BLSG,20250819,1
OP42LJV,20250819,1
OP43LVA,20250819,1
OP44BLSG,20250819,1
OP9LV,20250819,1
PRUEBA,20250819,1
OP40BLSG,20250820,1
OP40LV,20250820,1
OP41BLSG,20250820,1
OP42BLSG,20250820,1
OP42LJV,20250820,1
OP43LVA,20250820,1
OP44BLSG,20250820,1
OP9LV,20250820,1
PRUEBA,20250820,1
OP40BLSG,20250821,1
OP40LV,20250821,1
OP41BLSG,20250821,1
OP42BLSG,20250821,1
OP42LJV,20250821,1
OP43LVA,20250821,1
OP44BVSG,20250821,1
OP9LV,20250821,1
PRUEBA,20250821,1
OP40BLSG,20250822,1
OP40LV,20250822,1
OP41BVSG,20250822,1
OP42BLSG,20250822,1
OP42VV,20250822,1
OP43LVA,20250822,1
OP44BVSG,20250822,1
OP9LV,20250822,1
PRUEBA,20250822,1
OP40BSSG,20250823,1
OP40SV,20250823,1
OP41B2SSG,20250823,1
OP42B2SSG,20250823,1
OP42SV,20250823,1
OP43SV,20250823,1
OP44BSSG,20250823,1
OP9SVA,20250823,1
PRUEBA,20250823,1
OP40B2FSG,20250824,1
OP40FV,20250824,1
OP41B2FSG,20250824,1
OP42B2FSG,20250824,1
OP42FV,20250824,1
OP43FV,20250824,1
OP44B2FSG,20250824,1
OP9FVA,20250824,1
PRUEBA,20250824,1
OP40LV,20250825,1
OP41LJV,20250825,1
OP42LJV,20250825,1
OP43LVA,20250825,1
OP44LVA,20250825,1
OP9LV,20250825,1
PRUEBA,20250825,1
OP40LV,20250826,1
OP41LJV,20250826,1
OP42LJV,20250826,1
OP43LVA,20250826,1
OP44LVA,20250826,1
OP9LV,20250826,1
PRUEBA,20250826,1
OP40LV,20250827,1
OP41LJV,20250827,1
OP42LJV,20250827,1
OP43LVA,20250827,1
OP44LVA,20250827,1
OP9LV,20250827,1
PRUEBA,20250827,1
OP40LV,20250828,1
OP41LJV,20250828,1
OP42LJV,20250828,1
OP43LVA,20250828,1
OP44LVA,20250828,1
OP9LV,20250828,1
PRUEBA,20250828,1
OP40LV,20250829,1
OP41VV,20250829,1
OP42VV,20250829,1
OP43LVA,20250829,1
OP44LVA,20250829,1
OP9LV,20250829,1
PRUEBA,20250829,1
OP40SV,20250830,1
OP41SV,20250830,1
OP42SV,20250830,1
OP43SV,20250830,1
OP44SVA,20250830,1
OP9SVA,20250830,1
PRUEBA,20250830,1
OP40FV,20250831,1
OP41FV,20250831,1
OP42FV,20250831,1
OP43FV,20250831,1
OP44FPV,20250831,1
OP9FVA,20250831,1
PRUEBA,20250831,1
OP40LSSU,20250901,1
OP41LSSU,20250901,1
OP42EA3524,20250901,1
OP42LSSU,20250901,1
OP43LPPV,20250901,1
OP44LSUPV,20250901,1
OP9LPPV,20250901,1
PRUEBA,20250901,1
OP40LSSU,20250902,1
OP41LSSU,20250902,1
OP42EA3524,20250902,1
OP42LSSU,20250902,1
OP43LPPV,20250902,1
OP44LSUPV,20250902,1
OP9LPPV,20250902,1
PRUEBA,20250902,1
OP40LSSU,20250903,1
OP41LSSU,20250903,1
OP42EA3524,20250903,1
OP42LSSU,20250903,1
OP43LPPV,20250903,1
OP44LSUPV,20250903,1
OP9LPPV,20250903,1
PRUEBA,20250903,1
OP40LSSU,20250904,1
OP41LSSU,20250904,1
OP42EA3524,20250904,1
OP42LSSU,20250904,1
OP43LPPV,20250904,1
OP44LSUPV,20250904,1
OP9LPPV,20250904,1
PRUEBA,20250904,1
OP40LSSU,20250905,1
OP41ELOVIE,20250905,1
OP41VSSU,20250905,1
OP42EA3524,20250905,1
OP42VSSU,20250905,1
OP43LPPV,20250905,1
OP44LKG,20250905,1
OP44LSUPV,20250905,1
OP9LPPV,20250905,1
PRUEBA,20250905,1
OP40SSSU,20250906,1
OP41ELOSAB,20250906,1
OP41SIN,20250906,1
OP42SSEPT,20250906,1
OP43SIN,20250906,1
OP44LKG2,20250906,1
OP44SSEPT,20250906,1
OP9SIN,20250906,1
PRUEBA,20250906,1
OP40FSEPT,20250907,1
OP41FIN,20250907,1
OP42FSEPT,20250907,1
OP43FIN,20250907,1
OP44FPV,20250907,1
OP9FIN,20250907,1
PRUEBA,20250907,1
OP40LJIN,20250908,1
OP41LJIN,20250908,1
OP42LSEPT,20250908,1
OP43LIN,20250908,1
OP44LIN,20250908,1
OP9LJIN,20250908,1
PRUEBA,20250908,1
OP40LJIN,20250909,1
OP41LJIN,20250909,1
OP42LSEPT,20250909,1
OP43LIN,20250909,1
OP44LIN,20250909,1
OP9LJIN,20250909,1
PRUEBA,20250909,1
OP40LJIN,20250910,1
OP41XIN,20250910,1
OP42LSEPT,20250910,1
OP43LIN,20250910,1
OP44LIN,20250910,1
OP9LJIN,20250910,1
PRUEBA,20250910,1
OP40LJIN,20250911,1
OP41LJIN,20250911,1
OP42LSEPT,20250911,1
OP43LIN,20250911,1
OP44LIN,20250911,1
OP9LJIN,20250911,1
PRUEBA,20250911,1
OP40VIN,20250912,1
OP41ELOVIE,20250912,1
OP41VPPV,20250912,1
OP42VSEPT,20250912,1
OP43LIN,20250912,1
OP44VIN,20250912,1
OP9VIN,20250912,1
PRUEBA,20250912,1
OP40SSEPT,20250913,1
OP41ELOSAB,20250913,1
OP41SIN,20250913,1
OP42SSEPT,20250913,1
OP43SIN,20250913,1
OP44SSEPT,20250913,1
OP9SIN,20250913,1
PRUEBA,20250913,1
OP40FSEPT,20250914,1
OP41FIN,20250914,1
OP42FSEPT,20250914,1
OP43FIN,20250914,1
OP44FPV,20250914,1
OP9FIN,20250914,1
PRUEBA,20250914,1
OP40LJIN,20250915,1
OP41LJIN,20250915,1
OP42LSEPT,20250915,1
OP43LIN,20250915,1
OP44LIN,20250915,1
OP9LJIN,20250915,1
PRUEBA,20250915,1
OP40LJIN,20250916,1
OP41LJIN,20250916,1
OP42LSEPT,20250916,1
OP43LIN,20250916,1
OP44LIN,20250916,1
OP9LJIN,20250916,1
PRUEBA,20250916,1
OP40LJIN,20250917,1
OP41XIN,20250917,1
OP42LSEPT,20250917,1
OP43LIN,20250917,1
OP44LIN,20250917,1
OP9LJIN,20250917,1
PRUEBA,20250917,1
OP40LJIN,20250918,1
OP41LJIN,20250918,1
OP42LSEPT,20250918,1
OP43LIN,20250918,1
OP44LIN,20250918,1
OP9LJIN,20250918,1
PRUEBA,20250918,1
OP40VIN,20250919,1
OP41VPPV,20250919,1
OP42VSEPT,20250919,1
OP43LIN,20250919,1
OP44VIN,20250919,1
OP9VIN,20250919,1
PRUEBA,20250919,1
OP40SSEPT,20250920,1
OP41SIN,20250920,1
OP42SSEPT,20250920,1
OP43SIN,20250920,1
OP44SSEPT,20250920,1
OP9SIN,20250920,1
PRUEBA,20250920,1
OP40FSEPT,20250921,1
OP41FIN,20250921,1
