service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
OP42LJPV,0,0,0,0,0,0,0,20170612,20260630
OP9VPV,0,0,0,0,0,0,0,20250613,20260626
OP40LJLSQ,0,0,0,0,0,0,0,20170717,20260730
OP41VJLSQ,0,0,0,0,0,0,0,20170721,20260724
OP43LPPV,0,0,0,0,0,0,0,20220606,20260630
OP41VV,0,0,0,0,0,0,0,20170804,20260807
OP44LPV2,0,0,0,0,0,0,0,20170612,20260730
OP41FV,0,0,0,0,0,0,0,20170806,20260809
OP9LJLPQ,0,0,0,0,0,0,0,20170703,20260709
OP40SJLPQ,0,0,0,0,0,0,0,20170701,20260711
OP9FVA,0,0,0,0,0,0,0,20220807,20260809
OP44FPV,0,0,0,0,0,0,0,20170604,20260809
OP40SJLSQ,0,0,0,0,0,0,0,20170722,20260718
OP42FPV2,0,0,0,0,0,0,0,20170611,20260628
OP41LJV,0,0,0,0,0,0,0,20170801,20260813
OP42FV,0,0,0,0,0,0,0,20170702,20260809
OP43FIN,0,0,0,0,0,0,0,20170903,20260628
OP9LPV,0,0,0,0,0,0,0,20170612,20260630
OP40SPV,0,0,0,0,0,0,0,20170603,20260627
OP40LPV,0,0,0,0,0,0,0,20170612,20260619
OP42VV,0,0,0,0,0,0,0,20170804,20260807
OP9FPV,0,0,0,0,0,0,0,20230611,20260628
OP44LVA,0,0,0,0,0,0,0,20170801,20260813
OP43LVA,0,0,0,0,0,0,0,20170801,20260813
OP42EMUNGF,0,0,0,0,0,0,0,20170625,20260705
OP41FIN,0,0,0,0,0,0,0,20170106,20260731
OP40FV,0,0,0,0,0,0,0,20170723,20260809
OP42VJLPQ,0,0,0,0,0,0,0,20170707,20260710
OP9EFCAR2,0,0,0,0,0,0,0,20250720,20260719
OP9LJLSQ,0,0,0,0,0,0,0,20170717,20260730
OP9EFCAR,0,0,0,0,0,0,0,20240713,20260718
OP9SV,0,0,0,0,0,0,0,20220702,20260718
OP40FPV,0,0,0,0,0,0,0,20170604,20260628
OP42LJV,0,0,0,0,0,0,0,20170801,20260813
PRUEBA,0,0,0,0,0,0,0,20160630,20260813
OP43FV,0,0,0,0,0,0,0,20170702,20260809
OP44LPV,0,0,0,0,0,0,0,20170612,20260730
OP42VPV2,0,0,0,0,0,0,0,20170616,20260626
OP9SPV,0,0,0,0,0,0,0,20230610,20260627
OP9SVA,0,0,0,0,0,0,0,20220806,20260808
OP40LJLPQ,0,0,0,0,0,0,0,20170703,20260710
OP44SV,0,0,0,0,0,0,0,20220611,20260718
OP44LV,0,0,0,0,0,0,0,20170612,20260730
OP41LJUPVR,0,0,0,0,0,0,0,20170612,20260630
OP43LV,0,0,0,0,0,0,0,20170703,20260730
OP9FV,0,0,0,0,0,0,0,20220703,20260731
OP42LJLSQ,0,0,0,0,0,0,0,20170717,20260730
OP42VJLSQ,0,0,0,0,0,0,0,20170721,20260724
OP41SV,0,0,0,0,0,0,0,20170805,20260808
OP42LJLPQ,0,0,0,0,0,0,0,20170703,20260709
OP41VUPVR,0,0,0,0,0,0,0,20170616,20260626
OP42EMUNGS,0,0,0,0,0,0,0,20170624,20260704
OP41LJLSQ,0,0,0,0,0,0,0,20170717,20260730
OP41VFV,0,0,0,0,0,0,0,20170724,20260813
OP41LJLPQ,0,0,0,0,0,0,0,20170703,20260709
OP41SIN,0,0,0,0,0,0,0,20170107,20260718
OP40LV,0,0,0,0,0,0,0,20170418,20260813
OP42VPV,0,0,0,0,0,0,0,20170616,20260626
OP42SPV2,0,0,0,0,0,0,0,20170610,20260627
OP43SIN,0,0,0,0,0,0,0,20170902,20260627
OP9VJLPQ,0,0,0,0,0,0,0,20250704,20260710
OP42LJPV2,0,0,0,0,0,0,0,20170612,20260630
OP41VJLPQ,0,0,0,0,0,0,0,20170707,20260710
OP40LPV2,0,0,0,0,0,0,0,20180605,20260630
OP43SV,0,0,0,0,0,0,0,20170701,20260808
OP44SVA,0,0,0,0,0,0,0,20210807,20260808
OP42SV,0,0,0,0,0,0,0,20170701,20260808
OP42VNF,0,0,0,0,0,0,0,20180330,20260731
OP9LV,0,0,0,0,0,0,0,20170801,20260813
OP42EMUNGV,0,0,0,0,0,0,0,20170623,20260703
OP40SV,0,0,0,0,0,0,0,20170805,20260808
