service_id,date,exception_type
OP40LPV2,20260630,1
OP41LJUPVR,20260630,1
OP42LJPV3,20260630,1
OP43LPPV,20260630,1
OP44LPV2,20260630,1
OP9LPV,20260630,1
PRUEBA,20260630,1
OP40LJLPQ,20260701,1
OP41LJLPQ,20260701,1
OP42LJLPQ,20260701,1
OP43LV,20260701,1
OP44LV,20260701,1
OP9LJLPQ,20260701,1
PRUEBA,20260701,1
OP40LJLPQ,20260702,1
OP41LJLPQ,20260702,1
OP42LJLPQ,20260702,1
OP43LV,20260702,1
OP44LV,20260702,1
OP9LJLPQ,20260702,1
PRUEBA,20260702,1
OP40LJLPQ,20260703,1
OP41VJLPQ,20260703,1
OP42EMUNGV,20260703,1
OP42VJLPQ,20260703,1
OP43LV,20260703,1
OP44LV,20260703,1
OP9VJLPQ,20260703,1
PRUEBA,20260703,1
OP40SJLPQ,20260704,1
OP41SIN,20260704,1
OP42EMUNGS,20260704,1
OP42SV,20260704,1
OP43SV,20260704,1
OP44SV,20260704,1
OP9SV,20260704,1
PRUEBA,20260704,1
OP40FV,20260705,1
OP41FIN,20260705,1
OP42EMUNGF,20260705,1
OP42FV,20260705,1
OP43FV,20260705,1
OP44FPV,20260705,1
OP9FV,20260705,1
PRUEBA,20260705,1
OP40LJLPQ,20260706,1
OP41LJLPQ,20260706,1
OP42LJLPQ,20260706,1
OP43LV,20260706,1
OP44LV,20260706,1
OP9LJLPQ,20260706,1
PRUEBA,20260706,1
OP40LJLPQ,20260707,1
OP41LJLPQ,20260707,1
OP42LJLPQ,20260707,1
OP43LV,20260707,1
OP44LV,20260707,1
OP9LJLPQ,20260707,1
PRUEBA,20260707,1
OP40LJLPQ,20260708,1
OP41LJLPQ,20260708,1
OP42LJLPQ,20260708,1
OP43LV,20260708,1
OP44LV,20260708,1
OP9LJLPQ,20260708,1
PRUEBA,20260708,1
OP40LJLPQ,20260709,1
OP41LJLPQ,20260709,1
OP42LJLPQ,20260709,1
OP43LV,20260709,1
OP44LV,20260709,1
OP9LJLPQ,20260709,1
PRUEBA,20260709,1
OP40LJLPQ,20260710,1
OP41VJLPQ,20260710,1
OP42VJLPQ,20260710,1
OP43LV,20260710,1
OP44LV,20260710,1
OP9VJLPQ,20260710,1
PRUEBA,20260710,1
OP40SJLPQ,20260711,1
OP41SIN,20260711,1
OP42SV,20260711,1
OP43SV,20260711,1
OP44SV,20260711,1
OP9SV,20260711,1
PRUEBA,20260711,1
OP40FV,20260712,1
OP41FIN,20260712,1
OP42FV,20260712,1
OP43FV,20260712,1
OP44FPV,20260712,1
OP9FV,20260712,1
PRUEBA,20260712,1
OP40LJLSQ,20260713,1
OP41LJLSQ,20260713,1
OP42LJLSQ,20260713,1
OP43LV,20260713,1
OP44LV,20260713,1
OP9LJLSQ,20260713,1
PRUEBA,20260713,1
OP40LJLSQ,20260714,1
OP41LJLSQ,20260714,1
OP42LJLSQ,20260714,1
OP43LV,20260714,1
OP44LV,20260714,1
OP9LJLSQ,20260714,1
PRUEBA,20260714,1
OP40LJLSQ,20260715,1
OP41LJLSQ,20260715,1
OP42LJLSQ,20260715,1
OP43LV,20260715,1
OP44LV,20260715,1
OP9LJLSQ,20260715,1
PRUEBA,20260715,1
OP40LJLSQ,20260716,1
OP41LJLSQ,20260716,1
OP42LJLSQ,20260716,1
OP43LV,20260716,1
OP44LV,20260716,1
OP9LJLSQ,20260716,1
PRUEBA,20260716,1
